55,42,63,45,74,61,72,67,92,60,52,85,96,52,70,75,64,65,62,60,60,48,70,55,86,88,75,72,64,65,94,81,47,36,64,63,60,54,58,84,64,65,55,59,67,91,74,69,83,61,55,94,52,65,93,76,86,50,81,54,67,52,65,48,59,65,68,85,97,91,67,50,54,72,69,55,67,65,70,76,59,39,51,61,70,55,75,60,91,54,58,49,81,76,50,63,54,76,61,67
58,54,64,50,76,63,76,72,94,64,56,86,97,55,72,82,71,72,67,67,65,54,72,82,91,91,79,73,71,83,95,90,52,45,67,64,67,58,62,86,66,67,67,62,72,94,75,77,87,73,67,95,55,79,94,77,90,51,88,57,69,63,67,49,70,69,70,88,0,93,88,51,60,77,75,58,75,90,78,80,62,42,52,64,72,60,77,74,97,55,60,57,91,77,54,77,58,77,65,69
62,55,67,51,79,66,77,75,95,76,70,90,98,60,76,86,74,86,69,76,66,56,73,84,93,92,80,87,76,93,96,91,54,48,73,73,74,61,72,90,70,68,77,68,73,96,76,83,90,76,72,97,57,84,95,88,91,57,91,61,84,65,69,55,73,71,77,91,0,95,90,55,67,81,77,61,90,92,81,85,65,52,58,65,74,63,78,76,0,57,64,59,94,79,59,79,59,85,79,71
63,60,69,52,84,72,79,79,99,79,76,95,0,61,77,90,77,90,70,87,72,61,75,85,94,95,82,94,77,94,0,92,56,54,74,78,86,62,73,94,72,75,83,69,76,0,78,88,91,78,79,99,59,85,98,98,93,58,92,70,91,67,72,61,74,74,78,92,0,97,91,59,69,86,91,81,92,94,90,88,68,61,61,77,75,65,92,95,0,60,69,60,96,80,64,81,60,87,96,72
65,70,74,54,87,76,81,81,0,84,77,97,0,69,80,94,78,92,72,92,75,66,78,86,0,97,83,95,86,96,0,93,57,55,75,81,87,76,77,96,88,79,94,76,78,0,80,90,92,79,85,0,62,92,0,99,94,66,93,76,94,71,90,72,76,76,87,94,0,0,92,71,81,95,92,85,93,95,94,92,70,67,70,93,80,72,94,97,0,63,71,62,97,90,72,87,63,90,97,85
66,76,75,56,90,79,82,84,0,90,81,0,0,70,83,95,88,95,90,93,76,70,81,90,0,98,89,96,89,99,0,94,60,63,76,90,88,83,79,0,91,89,95,83,82,0,90,92,93,80,87,0,73,95,0,0,95,77,95,77,95,73,91,77,77,80,88,96,0,0,93,76,83,97,93,90,94,97,95,93,87,76,72,94,86,75,96,0,0,65,74,63,0,92,73,88,67,91,0,87
70,77,80,60,92,80,83,90,0,94,93,0,0,72,86,97,92,99,93,96,83,73,88,95,0,0,90,97,90,0,0,97,61,69,86,92,91,87,81,0,92,90,0,87,86,0,91,94,94,82,89,0,74,97,0,0,96,86,0,92,97,83,92,86,83,90,94,98,0,0,94,81,91,98,99,92,0,98,96,95,92,89,77,96,87,76,97,0,0,74,77,65,0,93,77,90,70,95,0,92
72,78,81,64,93,86,85,91,0,95,94,0,0,74,91,0,94,0,94,97,86,77,91,0,0,0,92,0,92,0,0,0,62,73,90,93,93,90,84,0,99,92,0,95,87,0,92,95,97,90,90,0,75,0,0,0,97,87,0,93,,90,93,88,90,92,97,0,0,0,97,86,92,0,0,96,0,99,97,97,93,94,87,0,90,79,0,0,0,76,81,67,0,94,95,91,74,0,0,94
73,97,85,65,95,89,88,92,0,97,95,0,0,81,93,0,95,0,95,99,90,86,98,0,0,0,93,0,94,0,0,0,66,74,91,94,94,91,87,0,0,93,0,96,91,0,93,0,0,93,92,0,77,0,0,0,98,88,0,94,,94,96,93,92,93,0,0,0,0,99,91,94,0,0,0,0,0,98,0,94,96,89,0,91,90,0,0,0,78,88,71,0,95,97,93,91,0,0,95
74,99,90,73,99,94,91,93,0,99,96,0,0,87,95,0,96,0,96,0,92,92,99,0,0,0,95,0,95,0,0,0,67,76,94,95,95,93,88,0,0,94,0,97,92,0,96,0,0,95,95,0,81,0,0,0,0,92,0,98,,97,97,98,93,94,0,0,0,0,0,93,95,0,0,0,0,0,99,0,95,97,96,0,95,94,0,0,0,80,91,88,0,97,0,94,92,0,0,96
80,0,93,80,0,95,94,95,0,0,97,0,0,89,96,0,97,0,97,0,96,0,0,0,0,0,97,0,97,0,0,0,90,79,96,96,96,96,94,0,0,95,0,0,94,0,98,0,0,96,97,0,82,0,0,0,0,96,0,0,0,0,99,0,94,95,0,0,0,0,0,95,97,0,0,0,0,0,0,0,96,98,98,0,97,95,0,0,0,82,96,90,0,99,0,95,93,0,0,97
87,0,95,87,0,0,97,96,0,0,0,0,0,90,97,0,0,0,98,0,0,0,0,0,0,0,98,0,99,0,0,0,91,81,97,97,0,97,96,0,0,96,0,0,95,0,0,0,0,0,98,0,87,0,0,0,0,99,0,0,0,0,0,0,96,96,0,0,0,0,0,99,98,0,0,0,0,0,0,0,98,0,0,0,98,96,0,0,0,83,0,94,0,0,0,98,94,0,0,98
95,0,96,90,0,0,98,97,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,95,94,98,98,0,0,97,0,0,98,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,85,0,95,0,0,0,0,95,0,0,0
97,0,98,92,0,0,0,98,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,95,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,96,0,0,0,0,97,0,0,0
98,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,97,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,97,0,0,0,0,0,0,0,0
0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,99,0,0,0,0,0,0,0,0
0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0
0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
